eName;isPlanet;semimajorAxis;perihelion;aphelion;eccentricity;inclination;density;gravity;escape;meanRadius;equaRadius;polarRadius;flattening;dimension;sideralOrbit;sideralRotation;discoveryDate;mass_kg;volume;orbit_type;orbits;bondAlbido;geomAlbido;RV_abs;p_transit;transit_visibility;transit_depth;massj;semimajorAxis_AU;grav_int
21 Lutetia;FALSO;364277000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;12/11/1852;24000000000000000;NA;Primary;NA;NA;NA;NA;19116633770454900;3440994078681880;22500000;12600;##########;##########
216 Kleopatra;FALSO;417796000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;10/04/1880;24000000000000000;NA;Primary;NA;NA;NA;NA;16667823531101300;30002082355982300;22500000;12600;##########;##########
243 Ida;FALSO;428000000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;29/09/1884;24000000000000000;NA;Primary;NA;NA;NA;NA;16270443925233600;2928679906542050;22500000;12600;##########;##########
25143 Itokawa;FALSO;198049628;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;36064;24000000000000000;NA;Primary;NA;NA;NA;NA;3516164140434530;6329095452782160;22500000;12600;##########;81264797677167.6
253 Mathilde;FALSO;395900000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;12/11/1885;24000000000000000;NA;Primary;NA;NA;NA;NA;17589669108360600;3166140439504920;22500000;12600;##########;20336654803680.13
2867 ≈ teins;FALSO;353495000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;25511;24000000000000000;NA;Primary;NA;NA;NA;NA;19699712867225800;3545948316100650;22500000;12600;##########;25508444123823.53
28978 Ixion;FALSO;5910896000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;37033;24000000000000000;NA;Primary;NA;NA;NA;NA;1180000000000;21206175848805300;22500000;12600;##########;##########
3 Junon;FALSO;399480000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;12/01/1804;24000000000000000;NA;Primary;NA;NA;NA;NA;17432036647641900;3137766596575540;22500000;12600;##########;19973788093340.81
3753 Cruithne;FALSO;149260000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;31695;24000000000000000;NA;Primary;NA;NA;NA;NA;46655165483049700;8397929786948940;22500000;12600;9977414738697880;143074964186624.1
4 Vesta;FALSO;353343000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;29/03/1807;24000000000000000;NA;Primary;NA;NA;NA;NA;19708187228839900;3547473701191190;22500000;12600;##########;##########
4179 Toutatis;FALSO;377326000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;32512;24000000000000000;NA;Primary;NA;NA;NA;NA;18455526520833400;332199477375002;22500000;12600;##########;22388090667245.28
433 Eros;FALSO;218155000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;13/08/1898;24000000000000000;NA;Primary;NA;NA;NA;NA;31921111136577200;5745800004583890;22500000;12600;##########;##########
45 Eugenia;FALSO;406934000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;27/06/1857;24000000000000000;NA;Primary;NA;NA;NA;NA;17112725896582700;3080290661384890;22500000;12600;##########;19248751493082.68
47171 Lempo;FALSO;5884000000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;36434;24000000000000000;NA;Primary;NA;NA;NA;NA;1180000000000;21303110129163800;22500000;12600;##########;##########
4769 Castalia;FALSO;159053000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;32729;24000000000000000;NA;Primary;NA;NA;NA;NA;4378257561944760;7880863611500560;22500000;12600;##########;125998910661317.75
5 Astraea;FALSO;384877000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;08/12/1845;24000000000000000;NA;Primary;NA;NA;NA;NA;1809344284018010;325681971123242;22500000;12600;##########;##########
50000 Quaoar;FALSO;6489054000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;37411;24000000000000000;NA;Primary;NA;NA;NA;NA;1070000000000;19316760193396400;22500000;12600;##########;##########
5145 Pholus;FALSO;3055227000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;33612;24000000000000000;NA;Primary;NA;NA;NA;NA;2280000000000;4102722972793830;22500000;12600;##########;##########
5261 Eureka;FALSO;227908000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;33044;24000000000000000;NA;Primary;NA;NA;NA;NA;30555092405707500;5499916633027360;22500000;12600;##########;61366503696464.04
5335 Damocles;FALSO;8368303000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;33287;24000000000000000;NA;Primary;NA;NA;NA;NA;8320000000;14978843380790500;22500000;12600;##########;##########
588 Achilles;FALSO;776669000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;2245;24000000000000000;NA;Primary;NA;NA;NA;NA;897000000000;16139114603518300;22500000;12600;##########;##########
6 Hebe;FALSO;362959000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;01/07/1847;24000000000000000;NA;Primary;NA;NA;NA;NA;19186051317090900;3453489237076360;22500000;12600;##########;24195543442489.51
624 Hektor;FALSO;781183000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;2598;24000000000000000;NA;Primary;NA;NA;NA;NA;891000000000;16045856092618500;22500000;12600;##########;##########
7 Iris;FALSO;357019000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;13/08/1847;24000000000000000;NA;Primary;NA;NA;NA;NA;19505264425702800;351094759662651;22500000;12600;##########;25007360913888.58
7066 Nessus;FALSO;3689000000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;34085;24000000000000000;NA;Primary;NA;NA;NA;NA;1890000000000;3397872052046620;22500000;12600;##########;##########
762 Pulcova;FALSO;472579673;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;4995;24000000000000000;NA;Primary;NA;NA;NA;NA;14735610517890300;265240989322027;22500000;12600;##########;14272512943504.1
8 Flora;FALSO;329313000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;18/10/1847;24000000000000000;NA;Primary;NA;NA;NA;NA;21146295469659500;3806333184538720;22500000;12600;##########;##########
8405 Asbolus;FALSO;2694000000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;34786;24000000000000000;NA;Primary;NA;NA;NA;NA;2580000000000;4652839643652560;22500000;12600;##########;##########
87 Sylvia;FALSO;522135000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;16/05/1866;24000000000000000;NA;Primary;NA;NA;NA;NA;13337067999655200;2400672239937940;22500000;12600;##########;##########
9 Metis;FALSO;357052000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;25/04/1848;24000000000000000;NA;Primary;NA;NA;NA;NA;19503461680651500;351062310251728;22500000;12600;##########;25002738591233.98
90377 Sedna;FALSO;75660000000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;37939;24000000000000000;NA;Primary;NA;NA;NA;NA;9200000000;1656725892769690;22500000;12600;##########;##########
90482 Orcus;FALSO;5862440000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;38034;24000000000000000;NA;Primary;NA;NA;NA;NA;1190000000000;2138145550316930;22500000;12600;##########;##########
951 Gaspra;FALSO;330513000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;6056;24000000000000000;NA;Primary;NA;NA;NA;NA;2106951920196780;3792513456354210;22500000;12600;##########;##########
Adrastea;FALSO;129000;0;0;2;54;1;2;0;8;0;0;0;10 x 8 x 7;29826;7158;29044;2000000000000000;NA;Secondary;Jupiter;NA;NA;NA;##########;##########;132000;10500;862000000000;16000000000000000000
Aegaeon;FALSO;167500;0;0;0;1;1;0;0;0.5;0;0;0;NA;808;19.63;39675;100000000000;NA;Secondary;Saturn;NA;NA;NA;##########;##########;516;1;11196683429799600;473379728224548.9
Aegir;FALSO;20749800;0;0;252;166.7;1;0;0;3;0;0;0;NA;1116.5;0;38333;150000000000000;NA;Secondary;Saturn;NA;NA;NA;33559118642107300;##########;186000;79;1387038458696450;46270341801680.69
Aitne;FALSO;23315000;0;0;264;165.1;1;12;0;44682;0;0;0;NA;730.2;0;37244;45000000000000;NA;Secondary;Jupiter;NA;NA;NA;29866759596826000;##########;46400;237;1558511487556880;##########
Albiorix;FALSO;16401100;0;0;469;34;1;0;0;13;0;0;0;NA;783.5;13.32;36839;22300000000000000;NA;Secondary;Saturn;NA;NA;NA;42457822950899600;##########;3490000;117000;10963458185103700;11010000000000000
Alexhelios;FALSO;775;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;39709;24000000000000000;NA;Secondary;216 Kleopatra;NA;NA;NA;##########;##########;22500000;12600;5180000000;5310000000000000000000000
Amalthea;FALSO;181400;181150;182840;3;0.38;44564;0.02;0;84;0;0;0;125 x 73 x 64;49818;119563;09/09/1892;7500000000000000000;NA;Secondary;Jupiter;NA;NA;NA;##########;##########;146000000;3950000;1212584103979490;30300000000000000000000
Ananke;FALSO;21276000;0;0;244;148.9;1;0.01;0;10;0;0;0;NA;629.8;0;18899;40000000000000000;NA;Secondary;Jupiter;NA;NA;NA;32729460424891800;##########;2060000;211000;14222127561338300;11736000000000000
Anthe;FALSO;197700;0;0;1;0.1;1;0;0;1;0;0;0;NA;44652;0;39232;5000000000000;NA;Secondary;Saturn;NA;NA;NA;##########;##########;2060;3;13215428740724700;16990000000000000
Aoede;FALSO;23969000;0;0;432;158.3;1;0;0;2;0;0;0;NA;761.5;0;2003;90000000000000;NA;Secondary;Jupiter;NA;NA;NA;2905185865075720;##########;8250;474;16022286873365200;20805682049704.01
Arche;FALSO;23355000;0;0;259;165;1;12;0;44682;0;0;0;NA;762.7;0;37560;41500000000000;NA;Secondary;Jupiter;NA;NA;NA;29815606936416100;##########;46400;218;15611853224057900;##########
Ariel;FALSO;190900;190670;191130;12;0.04;2;0;0;581.1;0;0;0;NA;252038;604891;24/10/1851;1290000000000000000000;NA;Secondary;Uranus;NA;NA;NA;##########;##########;696000000;679000000;12760876816410400;4700000000000000000000000
