eName,isPlanet,semimajorAxis,perihelion,aphelion,eccentricity,inclination,density,gravity,escape,meanRadius,equaRadius,polarRadius,flattening,dimension,sideralOrbit,sideralRotation,discoveryDate,mass_kg,volume,orbit_type,orbits,bondAlbido,geomAlbido,RV_abs,p_transit,transit_visibility,transit_depth,massj,semimajorAxis_AU,grav_int,is_exoplanet
90377 Sedna,FALSO,75660000000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,37939,2.4E+16,NA,Primary,NA,NA,NA,NA,9200000000,1.65673E+15,22500000,12600,##########,##########,FALSE
90482 Orcus,FALSO,5862440000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,38034,2.4E+16,NA,Primary,NA,NA,NA,NA,1.19E+12,2.13815E+15,22500000,12600,##########,##########,FALSE
951 Gaspra,FALSO,330513000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,6056,2.4E+16,NA,Primary,NA,NA,NA,NA,2.10695E+15,3.79251E+15,22500000,12600,##########,##########,FALSE
Adrastea,FALSO,129000,0,0,2,54,1,2,0,8,0,0,0,10 x 8 x 7,29826,7158,29044,2E+15,NA,Secondary,Jupiter,NA,NA,NA,##########,##########,132000,10500,8.62E+11,1.6E+19,FALSE
Aegaeon,FALSO,167500,0,0,0,1,1,0,0,0.5,0,0,0,NA,808,19.63,39675,1E+11,NA,Secondary,Saturn,NA,NA,NA,##########,##########,516,1,1.11967E+16,4.7338E+14,FALSE
Aegir,FALSO,20749800,0,0,252,166.7,1,0,0,3,0,0,0,NA,1116.5,0,38333,1.5E+14,NA,Secondary,Saturn,NA,NA,NA,3.35591E+16,##########,186000,79,1.38704E+15,4.62703E+13,FALSE
Aitne,FALSO,23315000,0,0,264,165.1,1,12,0,44682,0,0,0,NA,730.2,0,37244,4.5E+13,NA,Secondary,Jupiter,NA,NA,NA,2.98668E+16,##########,46400,237,1.55851E+15,##########,FALSE
Albiorix,FALSO,16401100,0,0,469,34,1,0,0,13,0,0,0,NA,783.5,13.32,36839,2.23E+16,NA,Secondary,Saturn,NA,NA,NA,4.24578E+16,##########,3490000,117000,1.09635E+16,1.101E+16,FALSE
Alexhelios,FALSO,775,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,39709,2.4E+16,NA,Secondary,216 Kleopatra,NA,NA,NA,##########,##########,22500000,12600,5180000000,5.31E+24,FALSE
Amalthea,FALSO,181400,181150,182840,3,0.38,44564,0.02,0,84,0,0,0,125 x 73 x 64,49818,119563,09/09/1892,7.5E+18,NA,Secondary,Jupiter,NA,NA,NA,##########,##########,146000000,3950000,1.21258E+15,3.03E+22,FALSE
Ananke,FALSO,21276000,0,0,244,148.9,1,0.01,0,10,0,0,0,NA,629.8,0,18899,4E+16,NA,Secondary,Jupiter,NA,NA,NA,3.27295E+16,##########,2060000,211000,1.42221E+16,1.1736E+16,FALSE
Anthe,FALSO,197700,0,0,1,0.1,1,0,0,1,0,0,0,NA,44652,0,39232,5E+12,NA,Secondary,Saturn,NA,NA,NA,##########,##########,2060,3,1.32154E+16,1.699E+16,FALSE
Aoede,FALSO,23969000,0,0,432,158.3,1,0,0,2,0,0,0,NA,761.5,0,2003,9E+13,NA,Secondary,Jupiter,NA,NA,NA,2.90519E+15,##########,8250,474,1.60223E+16,2.08057E+13,FALSE
Arche,FALSO,23355000,0,0,259,165,1,12,0,44682,0,0,0,NA,762.7,0,37560,4.15E+13,NA,Secondary,Jupiter,NA,NA,NA,2.98156E+16,##########,46400,218,1.56119E+16,##########,FALSE
Ariel,FALSO,190900,190670,191130,12,0.04,2,0,0,581.1,0,0,0,NA,252038,604891,24/10/1851,1.29E+21,NA,Secondary,Uranus,NA,NA,NA,##########,##########,696000000,679000000,1.27609E+16,4.7E+24,FALSE
Atlas,FALSO,137670,0,0,0,0.3,1,0,0,33,0,0,0,42x36x18,602,0,29537,7E+15,NA,Secondary,Saturn,NA,NA,NA,##########,##########,22500000,36800,92000000000,4.91E+19,FALSE
Autonoe,FALSO,24033000,0,0,334,152.9,1,15,0,2,0,0,0,NA,715.4,0,37235,9E+13,NA,Secondary,Jupiter,NA,NA,NA,2.89745E+16,##########,8250,474,1.60651E+16,##########,FALSE
Bebhionn,FALSO,17117800,0,0,469,35,1,0,0,3,0,0,0,NA,834.8,0,38333,1.5E+14,NA,Secondary,Saturn,NA,NA,NA,4.06796E+15,##########,186000,79,1.14425E+16,6.79884E+13,FALSE
Belinda,FALSO,75300,0,0,0,0.03,1,0,0,45,0,0,0,NA,62353,0,31425,4.9E+17,NA,Secondary,Uranus,NA,NA,NA,##########,##########,4180000,2580000,50300000000,1.15E+22,FALSE
Bergelmir,FALSO,19338300,0,0,142,158.5,1,0,0,3,0,0,0,NA,1005.9,0,38333,1.5E+14,NA,Secondary,Saturn,NA,NA,NA,3.60086E+16,##########,186000,79,1.29269E+16,5.32714E+13,FALSE
Bestla,FALSO,20278000,0,0,521,145.2,1,0,0,3,0,0,0,NA,1083.6,0,38334,2.3E+14,NA,Secondary,Saturn,NA,NA,NA,3.43399E+15,##########,186000,1210,1.3555E+16,7.42877E+13,FALSE
Bianca,FALSO,59200,0,0,0,0.19,1,0,0,27,0,0,0,NA,43458,0,31435,9.2E+16,NA,Secondary,Uranus,NA,NA,NA,##########,##########,15000000,484000,39600000000,3.49E+21,FALSE
Caliban,FALSO,7231100,0,0,1812,141.53,1,0,0,36,0,0,0,NA,-579.5,0,35679,2.5E+17,NA,Secondary,Uranus,NA,NA,NA,9.63032E+15,##########,26700000,1320000,4.83369E+15,6.35E+17,FALSE
Callirrhoe,FALSO,24102000,0,0,283,147.1,1,31,0,4,0,0,0,NA,758.8,0,36439,8.7E+14,NA,Secondary,Jupiter,NA,NA,NA,2.88916E+15,##########,33000,458,1.61112E+16,1.98908E+14,FALSE
Callisto,FALSO,1882700,0,0,7,192,1.83,1235,0,186335,0,0,0,NA,1668902,400536,07/01/1610,1.08E+39,NA,Secondary,Jupiter,NA,NA,NA,3.71144E+15,##########,1.2E+11,56800000000,1.25851E+16,4.05E+24,FALSE
Calypso,FALSO,294710,0,0,1,1473,1,0,0,33,0,0,0,31x24x21,1.89,0,29293,6.5E+15,NA,Secondary,Saturn,NA,NA,NA,##########,##########,22500000,34200,1.97001E+16,9.94E+18,FALSE
Carme,FALSO,23404000,0,0,253,164.9,1,17,0,15,0,0,0,NA,734.2,0,14091,1E+17,NA,Secondary,Jupiter,NA,NA,NA,2.97538E+15,##########,4640000,52600,1.56446E+16,2.4247E+16,FALSE
Carpo,FALSO,17078000,0,0,0.43,51.4,1,0,0,3,0,0,0,NA,456.1,0,2003,4.5E+13,NA,Secondary,Jupiter,NA,NA,NA,4.07744E+16,##########,186000,237,1.14159E+16,##########,FALSE
Chaldene,FALSO,23179000,0,0,251,165.2,1,0,0,44805,0,0,0,NA,723.8,0,36853,7.5E+13,NA,Secondary,Jupiter,NA,NA,NA,3.0042E+16,##########,7440,395,1.54942E+16,##########,FALSE
Charon,FALSO,17536,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,28593,2.4E+16,NA,Secondary,Pluto,NA,NA,NA,##########,##########,22500000,12600,1.17E+12,1.04E+22,FALSE
Cleoselene,FALSO,380,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,39709,2.4E+16,NA,Secondary,216 Kleopatra,NA,NA,NA,##########,##########,22500000,12600,25400000000,2.21E+25,FALSE
Comet Hyakutake,FALSO,0,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,35094,2.4E+16,NA,Primary,NA,NA,NA,NA,Inf,Inf,22500000,12600,0,Inf,FALSE
Cordelia,FALSO,49800,0,0,0,0.08,1,0,0,20,0,0,0,NA,33503,0,31432,4.5E+16,NA,Secondary,Uranus,NA,NA,NA,##########,##########,825000,237000,3.33E+11,2.41E+21,FALSE
Cressida,FALSO,61800,0,0,0,0.01,1,0,0,41,0,0,0,NA,46357,0,31421,3.4E+17,NA,Secondary,Uranus,NA,NA,NA,##########,46813,34700000,1790000,4130000000,1.18E+22,FALSE
Cupid,FALSO,74392,0,0,0,0.1,1,0,0,9,0,0,0,NA,613,0,37858,3.8E+15,NA,Secondary,Uranus,NA,NA,NA,##########,##########,1670000,0,4.97E+11,9.12E+19,FALSE
Cyllene,FALSO,23787000,0,0,319,149.3,1,0,0,1,0,0,0,NA,737.8,0,2003,1.5E+13,NA,Secondary,Jupiter,NA,NA,NA,2.92741E+16,##########,2060,8,1.59006E+16,##########,FALSE
Daphnis,FALSO,136500,0,0,0,0,0,0,0,33,0,0,0,9x8x6,594,0,39934,1E+14,NA,Secondary,Saturn,NA,NA,NA,##########,##########,22500000,53,9.12E+11,7.13E+17,FALSE
Deimos,FALSO,23458,23456,23471,0,1075,2,3,5556,33,44780,44566,0,15.0 x 12 x 10.4,126244,3029856,12/08/1877,2.4E+15,2957583,Secondary,Mars,NA,NA,NA,##########,##########,22500000,1260,1.57E+12,5.79E+20,FALSE
Desdemona,FALSO,62700,0,0,0,0.11,1,0,0,35,0,0,0,NA,47365,0,31425,1.8E+17,NA,Secondary,Uranus,NA,NA,NA,##########,##########,25300000,94700,4.19E+12,6.08E+21,FALSE
Despina,FALSO,52526,0,0,0,0.07,1,23,0,33,0,0,0,90 x 74 x 64,33466,0,32717,2E+18,NA,Secondary,Neptune,NA,NA,NA,##########,##########,22500000,10500000,3.51E+11,9.63E+22,FALSE
Dia,FALSO,12555000,0,0,211,28.23,1,0,0,2,0,0,0,NA,287,0,36887,9E+13,NA,Secondary,Jupiter,NA,NA,NA,5.54635E+15,##########,8250,474,8.3925E+15,7.58313E+13,FALSE
Dione,FALSO,377415,376580,378260,22,0.02,1,0,0,1123.4,0,0,0,NA,2.74,0,21/03/1684,1.1E+21,NA,Secondary,Saturn,NA,NA,NA,##########,##########,26000000000,579000000,2.52286E+16,1.03E+24,FALSE
Dysnomia,FALSO,30000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,??/09/2005,2.4E+16,NA,Secondary,136199 Eris,NA,NA,NA,232125,4178.25,22500000,12600,2.01E+11,3.54E+21,FALSE
Earth,VERDADERO,149598262,147095000,152100000,167,0,55136,10,11190,63710084,63781366,1627735,335,NA,365256,239345,NA,5.97E+24,1.08E+12,Primary,NA,306,367,8.93545E+15,4.69733E+15,8.4552E+15,83700000000,3.14211E+15,##########,3.54E+22,FALSE
Eirene,FALSO,23493000,0,0,0.22,163.1,1,0,0,2,0,0,0,NA,759.7,0,2003,9E+13,NA,Secondary,Jupiter,NA,NA,NA,2.96405E+16,##########,8250,474,1.57041E+15,2.16573E+13,FALSE
Elara,FALSO,11741000,0,0,217,26.63,1,31,0,40,0,0,0,NA,2596528,0,1829,8E+17,NA,Secondary,Jupiter,NA,NA,NA,5.9312E+14,##########,3300000,4210000,7.84837E+15,7.7076E+17,FALSE
Enceladus,FALSO,238037,236830,239066,45,0,2,0,0,504.2,0,0,0,NA,1.37,32.88,28/08/1789,1.08E+20,NA,Secondary,Saturn,NA,NA,NA,##########,##########,524000000,568000000,1.59118E+15,2.53E+23,FALSE
Epimetheus,FALSO,151410,0,0,9,0.34,1,0,0,113.4,0,0,0,116x117x106,0.69,0,24459,5.3E+17,NA,Secondary,Saturn,NA,NA,NA,##########,##########,265000000,279000,1.01211E+16,3.07E+21,FALSE
Erinome,FALSO,23283000,0,0,266,164.9,1,0,0,44713,0,0,0,NA,728.3,0,36853,4.5E+13,NA,Secondary,Jupiter,NA,NA,NA,2.99078E+15,##########,5280,237,1.55637E+16,##########,FALSE
Erriapus,FALSO,17611400,0,0,474,34.6,1,0,0,4,0,0,0,NA,871.2,0,36792,6.8E+14,NA,Secondary,Saturn,NA,NA,NA,3.95395E+15,##########,33000,3580,1.17725E+16,2.91179E+14,FALSE
Ersa,FALSO,11483000,0,0,94,44742,1,0,0,44682,0,0,0,NA,252,0,43298,2.4E+16,NA,Secondary,Jupiter,NA,NA,NA,6.06413E+15,##########,46400,12600,7.67591E+15,2.4174E+16,FALSE
Euanthe,FALSO,21038000,0,0,232,148.9,1,12,0,44682,0,0,0,NA,620.6,0,37236,4.5E+13,NA,Secondary,Jupiter,NA,NA,NA,3.30993E+15,##########,46400,237,1.4063E+16,1.35034E+13,FALSE
Eukelade,FALSO,23322000,0,0,272,165.5,1,0,0,4,0,0,0,NA,746.4,0,2003,9E+13,NA,Secondary,Jupiter,NA,NA,NA,2.98579E+16,##########,33000,474,1.55898E+15,##########,FALSE
Eupheme,FALSO,20230000,0,0,253,148,1,0,0,1,0,0,0,NA,504,0,2003,1.5E+13,NA,Secondary,Jupiter,NA,NA,NA,3.44213E+15,##########,2060,8,1.35229E+16,##########,FALSE
Euporie,FALSO,19339000,0,0,144,145.8,1,0,0,1,0,0,0,NA,553.1,0,37236,1.5E+13,NA,Secondary,Jupiter,NA,NA,NA,3.60072E+15,##########,2060,8,1.29273E+16,5.32675E+12,FALSE
Europa,FALSO,671100,0,0,9,466,44564,1,0,1560.8,0,0,0,NA,355118,852293,08/01/1610,4.8E+22,NA,Secondary,Jupiter,NA,NA,NA,##########,##########,5020000000,25300000000,4.48603E+15,1.42E+25,FALSE
Eurydome,FALSO,23148000,0,0,276,150.3,1,12,0,44682,0,0,0,NA,723.9,0,37244,4.5E+13,NA,Secondary,Jupiter,NA,NA,NA,3.00822E+15,##########,46400,237,1.54735E+16,##########,FALSE
Farbauti,FALSO,20387000,0,0,206,156.4,1,0,0,3,0,0,0,NA,1086.1,0,38333,9E+13,NA,Secondary,Saturn,NA,NA,NA,3.41563E+15,##########,186000,474,1.36279E+15,##########,FALSE
Fenrir,FALSO,22454800,0,0,136,164.9,1,0,0,2,0,0,0,NA,1260.3,0,38334,5E+13,NA,Secondary,Saturn,NA,NA,NA,3.10109E+16,##########,8250,26,1.50101E+15,##########,FALSE
Ferdinand,FALSO,20430000,0,0,3993,169.79,1,0,0,10,0,0,0,NA,-2823.4,0,37116,5.4E+15,NA,Secondary,Uranus,NA,NA,NA,3.40848E+15,##########,2060000,28400,1.36566E+16,1.7183E+15,FALSE
